X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63
0.0,0.0,0.0,0.0,0.5473562822164765,0.0,0.014556173722665152,0.0,0.46288876428871184,0.005110805184865452,0.0,0.0,0.0,0.0,0.0,0.0,0.20317980230545435,0.0,0.0,0.0,0.0,0.0,0.0,0.2925269103718198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3194254649172882,0.05583997241451043,0.0,0.26235973746989866,0.0,0.0,0.0,0.0,0.33925392825191164,0.0,0.0,0.09985895574290199,0.0,0.0,0.0,0.0,0.2449380808596502,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5597107438139693,0.0,0.03486522203743655,0.0,0.42730972990790217,1.9568936129859726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08322101360785769,0.0,0.0,0.0,0.0,0.0,0.0,0.24942654464200192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947565161370616,0.06447614622227034,0.0,0.31176346326113547,0.0,0.0,0.0,0.0,0.3753541722262882,0.0,0.0,0.1407309330118934,0.0,0.0,0.0,0.0,0.2912805719922649,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.527109835939273,0.0,0.0026435172091074342,0.0,0.43690148757278596,0.01310779063782814,0.0,0.0,0.0,0.0,0.0,0.0,0.17229920625961134,0.0,0.0,0.0,0.0,0.0,0.0,0.3216232509485673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170413846932607,0.038226148258500826,0.0,0.30012087578044255,0.0,0.0,0.0,0.0,0.3297762347663186,0.0,0.0,0.04598975011732975,0.0,0.0,0.0,0.0,0.30829942652408043,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.22780117009392747,0.0,1.0665422381737959e-30,0.0,0.3304020915808404,0.5557106314653377,0.0,0.0,0.0,0.0,0.0,0.0,0.1844428469124796,0.0,0.0,0.0,0.0,0.0,0.0,0.1934746369212279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35828254117555913,7.917276511960497e-08,0.0,0.275028270595348,0.0,0.0,0.0,0.0,0.29017209522839327,0.0,0.0,7.728891081602218e-19,0.0,0.0,0.0,0.0,0.4128781977328564,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.22189731244518934,0.0,1.4351738130150512e-63,0.0,1.980282263139861e-10,0.9521158959680543,0.0,0.0,0.0,0.0,0.0,0.0,0.0009860502309138378,0.0,0.0,0.0,0.0,0.0,0.0,0.13078943574351284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08250979595950148,4.135966638618636e-34,0.0,0.1418916134502764,0.0,0.0,0.0,0.0,1.01554595263526e-11,0.0,0.0,4.663631081818826e-43,0.0,0.0,0.0,0.0,0.013746206043319144,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.20313889714392958,0.0,7.665339021133562e-67,0.0,3.459898632241642e-08,0.9513187202242617,0.0,0.0,0.0,0.0,0.0,0.0,0.007688815131810483,0.0,0.0,0.0,0.0,0.0,0.0,0.1306277512915301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1181851373385713,2.1184138069012844e-37,0.0,0.14579120982726243,0.0,0.0,0.0,0.0,9.094044400412661e-10,0.0,0.0,1.9020795186728462e-48,0.0,0.0,0.0,0.0,0.03717190043262293,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.30712175092769434,0.0,1.3974788168719793e-44,0.0,4.432521180093276e-14,0.9463709466321237,0.0,0.0,0.0,0.0,0.0,0.0,0.0003481338087303137,0.0,0.0,0.0,0.0,0.0,0.0,0.09256990688014745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019446385706890827,5.636390947193233e-18,0.0,0.033328526524714304,0.0,0.0,0.0,0.0,2.064808514557488e-13,0.0,0.0,8.9998184089244e-23,0.0,0.0,0.0,0.0,4.838138502543836e-06,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.14566377622633625,0.0,2.9393430296221954e-81,0.0,5.787531509739793e-06,0.9250716623541292,0.0,0.0,0.0,0.0,0.0,0.0,0.09965957734942556,0.0,0.0,0.0,0.0,0.0,0.0,0.2690860355609881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17255836200509528,2.984587280979402e-46,0.0,0.10074027265282307,0.0,0.0,0.0,0.0,4.418229695578518e-06,0.0,0.0,7.684204816910697e-61,0.0,0.0,0.0,0.0,0.027571126716067634,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.24771065670484713,0.0,7.191918099625336e-57,0.0,3.706819516406034e-12,0.9579819510314747,0.0,0.0,0.0,0.0,0.0,0.0,0.002302475606633549,0.0,0.0,0.0,0.0,0.0,0.0,0.12355169845605388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657121188072258,1.3351256012480194e-28,0.0,0.03630192825570741,0.0,0.0,0.0,0.0,3.169938935002267e-13,0.0,0.0,1.4993563680482903e-35,0.0,0.0,0.0,0.0,0.001943171189143752,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3403390222654246,0.0,2.0106914025522653e-39,0.0,7.47587599155136e-15,0.9351851166975509,0.0,0.0,0.0,0.0,0.0,0.0,0.0003799114814943774,0.0,0.0,0.0,0.0,0.0,0.0,0.09438632699465395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02554990375661552,2.9025575908603684e-13,0.0,0.006035461243784963,0.0,0.0,0.0,0.0,2.725248185649164e-13,0.0,0.0,7.579992917094713e-18,0.0,0.0,0.0,0.0,3.6019531797427843e-07,0.0,0.0,0.0
